Hospital,Manufacturer,Division,EDI,Manufacturer Catalog Number,Product Description,List price,Prior price,Contracted price,Cap construct price,Provisional price,Unitof measure,UOM quantity,StartDate,EndDate,Use provisional price
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540137000,540137000,OPEN MIXING BOWL,0,750,750,0,0,BX,30,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546102000,546102000,PREP KIT W/O RESTRICTORS,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540151000,540151000,90 DEGREE CEMENT NOZZLE,0,321.3,321.3,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540153000,540153000,PRISM 8.5MM NOZZLE,0,439.5,439.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546110000,546110000,CEM RESTRICTOR SM,0,717.5,717.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540143000,540143000,PRISM SYRINGE SET,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546126000,546126000,FEMORAL PRESSURIZER,0,155.1,155.1,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546112000,546112000,CEM RESTRICTOR LG,0,717.5,717.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3206002,3206002,WEDGE FEMORAL PRESSURISER,0,389.15,389.15,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546122000,546122000,FEMORAL BRUSH,0,438,438,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540133500,540133500,PRISM II CART W/ BRKOFF NOZZLE,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540206000,540206000,DEPUY 6IN FEM CANAL SPONGE,0,293.15,293.15,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540208000,540208000,DEPUY 8IN FEM CANAL SPONGE,0,273.2,273.2,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540150000,540150000,65 DEGREE CEMENT NOZZLE,0,322,322,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540152000,540152000,90 DEGREE NOZZLE WIDE,0,561.2,561.2,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546128000,546128000,CEMENT CUP CURETTE,0,510.6,510.6,0,0,BX,10,5/31/2020,10/31/2023,No
